domain	uc_code	uc_name	page_id	depth1	depth2	depth3	dev_type	description	from	flow_type	owner_page	owner_uc	legacy_screen_id	출처서비스	통합여부
앱-MBR	US-MBR-LGN-001	로그인	NOVA-MBR-PG-001-0	로그인			PG	회원 모든 진입점(미로그인 시)	마이; 가입 신청; 아이디 찾기; 비밀번호 재설정		✅	✅			
앱-MBR	US-MBR-JON-001	회원가입	NOVA-MBR-PG-002-0	로그인	회원가입		PG	가입 시작 → 약관 동의			✅	✅	TW-MY-GUIDE-MOPC-049-PG-001; TM-MY-SET-PC-59-LN-009; TU-MY-MBR-MO-01-PU-002	TW, TM, TU	●
앱-MBR	US-MBR-JON-001	회원가입	NOVA-MBR-CP-001-0	로그인	회원가입	본인인증	CP	휴대폰 본인확인(공통)			✅	✅	TW-MY-MBR-MOPC-049-PU-028; TW-MY-MBR-MOPC-049-PU-029	TW	●
앱-MBR	US-MBR-JON-001	회원가입	NOVA-MBR-PG-003-0	로그인	회원가입	정보 입력	PG	아이디·비밀번호·기본정보 입력	본인인증		✅	✅			
앱-MBR	US-MBR-JON-001	회원가입	NOVA-MBR-PG-004-0	로그인	회원가입	가입 완료	PG	가입 완료 안내	정보 입력		✅	✅			
앱-MBR	US-MBR-TID-001	T-ID 로그인	NOVA-MBR-PG-005-0	로그인	T-ID 로그인		PG	T아이디·비밀번호 로그인			✅	✅			
앱-MBR	US-MBR-SNS-001	SNS 로그인	NOVA-MBR-PU-001-0	로그인	카카오 로그인		PU	카카오 인증		케이스 1	✅	✅			
앱-MBR	US-MBR-SNS-001	SNS 로그인	NOVA-MBR-PU-002-0	로그인	네이버 로그인		PU	네이버 인증		케이스 2	✅	✅			
앱-MBR	US-MBR-SNS-001	SNS 로그인	NOVA-MBR-PU-003-0	로그인	Apple 로그인		PU	Apple 인증		케이스 3	✅	✅			
앱-MBR	US-MBR-FND-001	계정 찾기	NOVA-MBR-PG-006-0	로그인	계정 찾기		PG	아이디·비밀번호 찾기 진입			✅	✅			
앱-MBR	US-MBR-FND-001	계정 찾기	NOVA-MBR-CP-001-0	로그인	계정 찾기	본인인증	CP	휴대폰 본인확인(공통)							
앱-MBR	US-MBR-FND-001	계정 찾기	NOVA-MBR-PG-007-0	로그인	계정 찾기	아이디 찾기	PG	마스킹된 아이디 결과	본인인증		✅	✅			
앱-MBR	US-MBR-FND-001	계정 찾기	NOVA-MBR-PG-008-0	로그인	계정 찾기	비밀번호 재설정	PG	새 비밀번호 설정	본인인증		✅	✅			
앱-MBR	US-MBR-DMT-001	휴면계정 해제	NOVA-MBR-PU-004-0	로그인	휴면계정 해제		PU	로그인 시 휴면 상태면 진입(조건)			✅	✅			
