domain	uc_code	uc_name	page_id	depth1	depth2	depth3	depth4	depth5	dev_type	description	from	flow_type	owner_page	owner_uc	legacy_screen_id	출처서비스	통합여부	비고
앱-AGR	US-ZBC-CS-001	통합 약관 권리 관리	NOVA-AGR-PG-001-0	마이	약관				PG	이용약관 목록 진입 화면. 멤버십·우주 서비스 약관 분류			✅	✅	TW-MY-AGR-MOPC-002-PG-001; TU-MY-AGR-MO-12-PG-001			
앱-AGR	US-ZBC-CS-001	통합 약관 권리 관리	NOVA-AGR-PG-002-0	마이	약관	이용약관 상세			PG	이용약관 상세 내용 화면	약관		✅	✅	TW-MY-AGR-MOPC-002-PG-002	TW		
앱-AGR	US-ZBC-CS-001	통합 약관 권리 관리	NOVA-AGR-PG-003-0	마이	약관	T 멤버십 회원약관			PG	T 멤버십 회원약관 상세	약관		✅	✅	TM-MY-AGR-MO-01-PG-041			
앱-AGR	US-ZBC-CS-001	통합 약관 권리 관리	NOVA-AGR-PG-004-0	마이	약관	T 우주 LITE 회원약관			PG	T 우주 LITE 회원약관 상세	약관		✅	✅	TM-MY-AGR-MO-01-PG-042	TM		
앱-AGR	US-ZBC-CS-001	통합 약관 권리 관리	NOVA-AGR-PG-005-0	마이	약관	멤버십 개인정보처리방침			PG	멤버십 통합 개인정보처리방침 상세	약관		✅	✅	TM-MY-AGR-MO-01-PG-043	TM		
앱-AGR	US-ZBC-CS-001	통합 약관 권리 관리	NOVA-AGR-PG-006-0	마이	약관	T 멤버십 전자상거래 이용약관			PG	T 멤버십 전자상거래 이용약관 상세	약관		✅	✅	TM-MY-AGR-MO-01-PG-047	TM		
앱-AGR	US-ZBC-CS-001	통합 약관 권리 관리	NOVA-AGR-PG-007-0	마이	약관	전자상거래 개인정보처리방침			PG	T 멤버십 전자상거래 개인정보처리방침 상세	약관		✅	✅	TM-MY-AGR-MO-01-PG-049	TM		
앱-AGR	US-ZBC-CS-001	통합 약관 권리 관리	NOVA-AGR-PG-008-0	마이	약관	개인위치정보 이용동의			PG	개인위치정보 이용동의 상세	약관		✅	✅	TM-MY-AGR-MO-01-PG-052			
앱-AGR	US-ZBC-CS-002	통합 약관 필수·선택 동의 관리	NOVA-AGR-PU-001-0	마이	약관	T 멤버십 서비스 약관 동의			PU	T 멤버십 서비스 약관 동의 팝업 (최초 1회 전체 약관 5개)	약관		✅	✅	TM-MY-AGR-MO-01-LP-002	TM		
앱-AGR	US-ZBC-CS-002	통합 약관 필수·선택 동의 관리	NOVA-AGR-PU-001-0	마이	약관	T 멤버십 서비스 약관 동의			PU	선택 약관 동의 (2회 이후)	약관	케이스 1			TM-MY-AGR-MO-01-LP-007	TM		
앱-AGR	US-ZBC-CS-002	통합 약관 필수·선택 동의 관리	NOVA-AGR-PU-002-0	마이	약관	앱 푸시 알림 약관 동의			PU	앱 푸시 알림 수신 약관 동의 화면	약관		✅	✅	TM-MY-AGR-MO-01-LP-010	TM		
앱-AGR	US-ZBC-CS-002	통합 약관 필수·선택 동의 관리	NOVA-AGR-PU-003-0	마이	약관	개인정보 수집·이용 동의			PU	개인정보 수집·이용 동의 화면	약관		✅	✅	TM-MY-AGR-MO-01-LP-023	TM		
앱-AGR	US-ZBC-CS-002	통합 약관 필수·선택 동의 관리	NOVA-AGR-PU-004-0	마이	약관	광고성 정보 수신 동의			PU	[선택] 광고성 정보 수신 동의 팝업	약관		✅	✅	TM-MY-AGR-MO-01-PU-003	TM		
앱-AGR	US-ZBC-CS-002	통합 약관 필수·선택 동의 관리	NOVA-AGR-PU-005-0	마이	약관	개인정보 수집·이용동의 (선택)			PU	[선택] 개인정보 수집·이용동의 팝업	약관	케이스 1	✅	✅	TM-MY-AGR-MO-01-PU-004	TM		
앱-AGR	US-ZBC-CS-002	통합 약관 필수·선택 동의 관리	NOVA-AGR-PU-006-0	마이	약관	위치기반서비스 이용약관			PU	[선택] T 멤버십 위치기반서비스 이용약관 팝업. 상세(PG)도 포함	약관	케이스 2	✅	✅	TM-MY-AGR-MO-01-PU-005; TM-MY-AGR-MO-01-PU-051	TM		
앱-AGR	US-ZBC-CS-002	통합 약관 필수·선택 동의 관리	NOVA-AGR-PU-007-0	마이	약관	개인위치정보 이용동의 (선택)			PU	[선택] T 멤버십 개인위치정보 이용동의 팝업	약관	케이스 3	✅	✅	TM-MY-AGR-MO-01-PU-006	TM		
앱-AGR	US-ZBC-CS-002	통합 약관 필수·선택 동의 관리	NOVA-AGR-PU-008-0	마이	약관	전자상거래 이용 동의			PU	T 멤버십 전자상거래 이용 약관 동의 팝업 (필수/개인정보 포함)	약관		✅	✅	TM-MY-AGR-MO-16-PU-027; TM-MY-AGR-MO-16-PU-028; TM-MY-AGR-MO-16-PU-029	TM		fadeout 검토대상
앱-AGR	US-ZBC-CS-002	통합 약관 필수·선택 동의 관리	NOVA-AGR-PU-009-0	마이	약관	전자상거래 이용 동의 완료			PU	전자상거래 이용 동의 완료 화면	전자상거래 이용 동의		✅	✅	TM-MY-AGR-MO-16-PU-031	TM		fadeout 검토대상
앱-AGR	US-ZBC-CS-002	통합 약관 필수·선택 동의 관리	NOVA-AGR-PU-010-0	마이	약관	구매 약관 동의			PU	[필수] 구매약관·개인정보 수집·개인정보 판매자 제공 동의 팝업	약관		✅	✅	TM-MY-AGR-MO-16-PU-044; TM-MY-AGR-MO-16-PU-045; TM-MY-AGR-MO-16-PU-046	TM		fadeout 검토대상
앱-AGR	US-ZBC-CS-002	통합 약관 필수·선택 동의 관리	NOVA-AGR-PG-009-0	마이	약관	약관 이전 버전			PG	이전 버전 약관 탭 조회 (전자상거래 이용약관/개인정보처리방침 이전 버전)	약관		✅	✅	TM-MY-AGR-MO-01-TB-044; TM-MY-AGR-MO-01-TB-048; TM-MY-AGR-MO-01-TB-050	TM		
