domain	uc_code	uc_name	page_id	depth1	depth2	depth3	depth4	depth5	dev_type	description	from	flow_type	owner_page	owner_uc	legacy_screen_id	출처서비스	통합여부	비고
앱-MY	US-MY-MYP-001	마이	NOVA-MY-PG-001-0	마이					PG	마이 홈						TW		
앱-BIL	US-BIL-PAY-001	즉시납부	NOVA-BIL-PG-001-0	마이	즉시납부				PG	즉시납부 실행 진입	마이		✅	✅	TW-MY-FEE-MOPC-045-PG-140	TW		
앱-BIL	US-BIL-PAY-001	즉시납부	NOVA-BIL-PG-002-0	마이	즉시납부	즉시납부 상세내역			PG	즉시납부 거래 상세			✅	✅	TW-MY-FEE-MOPC-045-PG-141	TW		
앱-BIL	US-BIL-PAY-001	즉시납부	NOVA-BIL-PU-001-0	마이	즉시납부	납부요금 선택			PU	납부할 요금 항목 선택 팝업			✅	✅	TW-MY-FEE-MOPC-045-PU-007	TW		
앱-BIL	US-BIL-PAY-001	즉시납부	NOVA-BIL-PU-002-0	마이	즉시납부	기타 납부하기			PU	기타 납부 수단 선택 팝업			✅	✅	TW-MY-FEE-MOPC-045-PU-006	TW		
앱-BIL	US-BIL-PAY-001	즉시납부	NOVA-BIL-PU-003-0	마이	즉시납부	납부 가능한 요금 없음 안내			PU	납부 가능 요금 없을 때 안내		예외 1	✅	✅	TW-MY-FEE-MOPC-045-PU-009	TW		
앱-BIL	US-BIL-PAY-001	즉시납부	NOVA-BIL-PU-004-0	마이	즉시납부	계좌이체 납부			PU	계좌이체로 즉시납부		케이스 1	✅	✅	TW-MY-FEE-MOPC-045-PU-016	TW		
앱-BIL	US-BIL-PAY-001	즉시납부	NOVA-BIL-PU-005-0	마이	즉시납부	카드 납부			PU	신용/체크카드로 즉시납부		케이스 2	✅	✅	TW-MY-FEE-MOPC-045-PU-018	TW		
앱-BIL	US-BIL-PAY-001	즉시납부	NOVA-BIL-PU-006-0	마이	즉시납부	11pay 납부			PU	11pay 간편결제 즉시납부		케이스 3	✅	✅	TW-MY-FEE-MOPC-045-PU-021	TW		
앱-BIL	US-BIL-PAY-001	즉시납부	NOVA-BIL-PU-007-0	마이	즉시납부	지로납부 정보 없을 경우			PU	지로납부 정보 없음 안내		예외 2	✅	✅	TW-MY-FEE-MOPC-045-PU-011	TW		
앱-BIL	US-BIL-PAY-001	즉시납부	NOVA-BIL-CP-001-0	마이	즉시납부	지로납부			CP	지로납부 안내 팝업		케이스 4	✅	✅	TW-MY-FEE-MOPC-045-CP-010	TW		
앱-BIL	US-BIL-PAY-001	즉시납부	NOVA-BIL-CP-002-0	마이	즉시납부	납부가능일 선택 Confirm			CP	납부 가능 일자 선택 확인 팝업			✅	✅	TW-MY-FEE-MOPC-045-CP-049	TW		
앱-BIL	US-BIL-PAY-001	즉시납부	NOVA-BIL-PU-008-0	마이	즉시납부	납부가능일 선택			PU	납부 가능 일자 선택 팝업			✅	✅	TW-MY-FEE-MOPC-045-PU-048	TW		
앱-BIL	US-BIL-PAY-001	즉시납부	NOVA-BIL-CP-003-0	마이	즉시납부	이용정지 해제			CP	미납 납부 후 이용정지 해제 팝업			✅	✅	TW-MY-FEE-MOPC-045-CP-050	TW		
앱-BIL	US-BIL-PAY-001	즉시납부	NOVA-BIL-AP-001-0	마이	즉시납부	간편송금으로 바로납부 하기			AP	간편송금 납부 링크 액션			✅	✅	TW-MY-FEE-MOPC-045-LN-029	TW		
앱-BIL	US-BIL-PAY-001	즉시납부	NOVA-BIL-CP-004-0	마이	즉시납부	(공통) 간편결제사 화면으로 이동			CP	간편결제 외부 이동 안내 팝업			✅	✅	TW-MY-FEE-MOPC-045-CP-166	TW		
앱-BIL	US-BIL-PAY-001	즉시납부	NOVA-BIL-PU-009-0	마이	즉시납부	(공통) 납부내역 확인			PU	납부 확인 단계 팝업			✅	✅	TW-MY-FEE-MOPC-045-PU-040	TW		
