domain	uc_code	uc_name	page_id	depth1	depth2	depth3	depth4	depth5	dev_type	description	from	flow_type	owner_page	owner_uc	legacy_screen_id	출처서비스	통합여부	비고
앱-MBI	US-MBR-CS-001	회원정보 통합 조회·이해	NOVA-MY-PG-001-0	마이					PG	마이 홈 — 회원정보·설정 진입점. MY 모듈 소유 공유 페이지.	홈							
앱-MBI	US-MBR-CS-001	회원정보 통합 조회·이해	NOVA-MBI-PG-001-0	마이	회원정보 관리				PG	회원정보 통합 조회 — 기본정보·로그인수단·설정 진입	마이		✅	✅	TU-MY-MBR-MO-15-PG-002	TU		fadeout 검토대상
앱-MBI	US-MBR-CS-001	회원정보 통합 조회·이해	NOVA-MBI-PG-002-0	마이	회원정보 관리	로그인수단 관리			PG	로그인 수단 조회 및 관리			✅	✅	TU-MY-MBR-MO-15-PG-003	TU		
앱-MBI	US-MBR-CS-001	회원정보 통합 조회·이해	NOVA-MBI-PG-003-0	마이	회원정보 관리	할인형/적립형 선택			PG	할인형 또는 적립형 서비스 선택			✅	✅	TM-MY-MBR-MO-06-PG-034	TM		
앱-MBI	US-MBR-CS-001	회원정보 통합 조회·이해	NOVA-MBI-PG-004-0	마이	설정				PG	앱 설정 진입 (로그인 상태)			✅	✅	TM-MY-MBR-MO-06-PG-001; TW-MY-MBR-MO-002-PG-002	TM, TW	●	fadeout 검토대상 (P6)
앱-MBI	US-MBR-CS-001	회원정보 통합 조회·이해	NOVA-MBI-PG-005-0	마이	미환급금 조회				PG	미환급금 조회			✅	✅	TW-MY-MBR-MOPC-003-PG-001	TW		
앱-MBI	US-MBR-CS-001	회원정보 통합 조회·이해	NOVA-MBI-BS-001-0	마이	미환급금 조회	미환급금 상세보기			BS	미환급금 상세 정보			✅	✅	TW-MY-MBR-MOPC-003-BS-004	TW		
앱-MBI	US-MBR-CS-001	회원정보 통합 조회·이해	NOVA-MBI-PU-016-0	마이	미환급금 조회	미환급금 없음 안내			PU	미환급금 내역이 없을 경우 안내 화면		예외 1	✅	✅	TW-MY-MBR-MOPC-003-PU-004	TW		
앱-MBI	US-MBR-CS-001	회원정보 통합 조회·이해	NOVA-MBI-PU-001-0	마이	미환급금 조회	계좌정보 수정			PU	환급 계좌정보 수정			✅	✅	TW-MY-MBR-MOPC-003-PU-002	TW		
앱-MBI	US-MBR-CS-001	회원정보 통합 조회·이해	NOVA-MBI-BS-002-0	마이	미환급금 조회	은행 선택			BS	환급 은행 선택			✅	✅	TW-MY-MBR-MOPC-003-BS-003	TW		
앱-MBI	US-MBR-CS-001	회원정보 통합 조회·이해	NOVA-MBI-PG-006-0	마이	앱 정보				PG	앱 버전·라이선스·인증 정보 진입			✅	✅				
앱-MBI	US-MBR-CS-001	회원정보 통합 조회·이해	NOVA-MBI-PU-002-0	마이	앱 정보	오픈 소스 라이선스			PU	오픈 소스 라이선스 안내			✅	✅	TU-MY-MBR-MO-15-PU-004; TM-MY-MBR-MO-06-PU-068; TM-MY-MBR-MO-06-PU-067	TM, TU	●	
앱-MBI	US-MBR-CS-001	회원정보 통합 조회·이해	NOVA-MBI-PG-007-0	마이	앱 정보	인증 마크			PG	앱 인증 마크 안내			✅	✅	TW-MY-MBR-MOPC-002-PG-004	TW		fadeout 검토대상
앱-MBI	US-MBR-CS-001	회원정보 통합 조회·이해	NOVA-MBI-PG-008-0	마이	앱 정보	패밀리 사이트			PG	패밀리 사이트 링크			✅	✅	TW-MY-MBR-MOPC-002-PG-005	TW		
앱-MBI	US-MBR-CS-001	회원정보 통합 조회·이해	NOVA-MBI-PG-009-0	마이	앱 정보	버전 안내			PG	최신버전·현재버전·이전버전 안내			✅	✅	TM-MY-MBR-MO-06-PG-065; TM-MY-MBR-MO-06-TB-100; TM-MY-MBR-MO-06-TB-102; TM-MY-MBR-MO-06-TB-101; TM-MY-MBR-MO-06-TB-103	TM		
앱-MBI	US-MBR-CS-002	회원정보 변경·검증 처리	NOVA-MBI-PG-010-0	마이	설정	T id 본인인증			PG	T아이디 본인인증 설정			✅	✅	TM-MY-MBR-MO-06-PG-026	TM		
앱-MBI	US-MBR-CS-002	회원정보 변경·검증 처리	NOVA-MBI-PG-011-0	마이	설정	포인트 비밀번호 관리			PG	포인트 비밀번호 등록·변경 진입			✅	✅				
앱-MBI	US-MBR-CS-002	회원정보 변경·검증 처리	NOVA-MBI-PG-012-0	마이	설정	포인트 비밀번호 관리	포인트 비밀번호 등록		PG	포인트 비밀번호 등록			✅	✅	TM-MY-MBR-MO-06-PG-022	TM		
앱-MBI	US-MBR-CS-002	회원정보 변경·검증 처리	NOVA-MBI-PG-013-0	마이	설정	포인트 비밀번호 관리	포인트 비밀번호 변경		PG	포인트 비밀번호 변경		케이스 1	✅	✅	TM-MY-MBR-MO-06-PG-025	TM		
앱-MBI	US-MBR-CS-002	회원정보 변경·검증 처리	NOVA-MBI-PU-003-0	마이	설정	포인트 비밀번호 관리	랜덤 키패드		PU	포인트 비밀번호 입력용 랜덤 키패드			✅	✅	TM-MY-MBR-MO-06-PU-023	TM		
앱-MBI	US-MBR-CS-002	회원정보 변경·검증 처리	NOVA-MBI-PU-004-0	마이	설정	포인트 비밀번호 관리	랜덤 키패드 확인		PU	포인트 비밀번호 확인용 랜덤 키패드			✅	✅	TM-MY-MBR-MO-06-PU-105	TM		
