domain	uc_code	uc_name	page_id	depth1	depth2	depth3	depth4	depth5	dev_type	description	from	flow_type	owner_page	owner_uc	legacy_screen_id	출처서비스	통합여부	비고
앱-MY	US-MY-MYP-001	마이	NOVA-MY-PG-001-0	마이					PG	마이 홈						TW		
앱-MCS	US-MCS-DASH-001	사용량 현황 조회	NOVA-MCS-PG-001-0	마이	데이터·통화				PG	나의 데이터·통화 홈 — 잔량·소진 순서 조회	마이		✅	✅	TW-MY-DTC-MOPC-044-PG-001	TW		
앱-MCS	US-MCS-DASH-001	사용량 현황 조회	NOVA-MCS-PG-002-0	마이	데이터·통화	나의 데이터/통화_선불폰(PPS) Case			PG	선불폰 고객 데이터·통화 현황		케이스 1	✅	✅	TW-MY-DTC-MOPC-044-PG-002	TW		
앱-MCS	US-MCS-DASH-001	사용량 현황 조회	NOVA-MCS-PU-001-0	마이	데이터·통화	사용패턴			PU	사용패턴 분석 팝업			✅	✅	TW-MY-DTC-MOPC-044-PU-003	TW		
앱-MCS	US-MCS-DASH-001	사용량 현황 조회	NOVA-MCS-CP-001-0	마이	데이터·통화	실시간 잔여량 조회 횟수 제한 Case			CP	실시간 조회 횟수 초과 안내		예외 1	✅	✅	TW-MY-DTC-MOPC-044-CP-068	TW		
앱-MCS	US-MCS-DASH-001	사용량 현황 조회	NOVA-MCS-CP-002-0	마이	데이터·통화	실시간 잔여량 조회 불가 Case			CP	실시간 조회 불가 안내		예외 2	✅	✅	TW-MY-DTC-MOPC-044-CP-069	TW		
앱-MCS	US-MCS-DASH-001	사용량 현황 조회	NOVA-MCS-PG-003-0	마이	데이터·통화	실시간 잔여량			PG	실시간 잔량 상세 조회	데이터·통화		✅	✅	TW-MY-DTC-MOPC-044-PG-067	TW		
앱-MCS	US-MCS-DASH-001	사용량 현황 조회	NOVA-MCS-PG-004-0	마이	데이터·통화	자녀 실시간 잔여량			PG	자녀 회선 실시간 잔량	데이터·통화		✅	✅	TW-MY-DTC-MOPC-044-PG-073	TW		
앱-MCS	US-MCS-DASH-001	사용량 현황 조회	NOVA-MCS-PG-005-0	마이	데이터·통화	T 가족모아 데이터			PG	T 가족모아 데이터 현황 조회			✅	✅	TW-MY-DTC-MOPC-044-PG-005	TW		
앱-MCS	US-MCS-DASH-001	사용량 현황 조회	NOVA-MCS-PG-006-0	마이	데이터·통화	통합공유 데이터			PG	통합공유 데이터 현황 조회			✅	✅	TW-MY-DTC-MOPC-044-PG-070	TW		
앱-MCS	US-MCS-SHARE-002	데이터 공유 설정	NOVA-MCS-PU-002-0	마이	데이터·통화	데이터 공유설정_바로공유			PU	바로공유 설정 팝업		케이스 1	✅	✅	TW-MY-DTC-MOPC-044-PU-006	TW		
앱-MCS	US-MCS-SHARE-002	데이터 공유 설정	NOVA-MCS-PU-003-0	마이	데이터·통화	데이터 바로공유 완료			PU	바로공유 완료 안내	데이터 공유설정_바로공유		✅	✅	TW-MY-DTC-MOPC-044-PU-008	TW		
앱-MCS	US-MCS-SHARE-002	데이터 공유 설정	NOVA-MCS-CP-003-0	마이	데이터·통화	데이터 바로공유 Confirm			CP	바로공유 확인 팝업			✅	✅	TW-MY-DTC-MOPC-044-CP-007	TW		
앱-MCS	US-MCS-SHARE-002	데이터 공유 설정	NOVA-MCS-PU-004-0	마이	데이터·통화	데이터 공유설정_매달 자동공유			PU	매달 자동공유 설정 팝업		케이스 2	✅	✅	TW-MY-DTC-MOPC-044-PU-009	TW		
앱-MCS	US-MCS-SHARE-002	데이터 공유 설정	NOVA-MCS-PU-005-0	마이	데이터·통화	데이터 매달 자동공유 완료			PU	자동공유 완료 안내	데이터 공유설정_매달 자동공유		✅	✅	TW-MY-DTC-MOPC-044-PU-011	TW		
앱-MCS	US-MCS-SHARE-002	데이터 공유 설정	NOVA-MCS-CP-004-0	마이	데이터·통화	데이터 매달 자동공유 Confirm			CP	자동공유 확인 팝업			✅	✅	TW-MY-DTC-MOPC-044-CP-010	TW		
