domain	uc_code	uc_name	page_id	depth1	depth2	depth3	depth4	depth5	dev_type	description	from	flow_type	owner_page	owner_uc	legacy_screen_id	출처서비스	통합여부	비고
앱-MY	US-MY-MYP-001	마이	NOVA-MY-PG-001-0	마이					PG	마이 홈						TW		
앱-MCT	US-MCT-CHG-001	데이터·통화 충전	NOVA-MCT-PG-001-0	마이	데이터·통화	충전			PG	충전 진입 — 충전 가능 여부 진단	마이; 데이터·통화		✅	✅	TW-MY-DTC-MOPC-044-PG-060	TW		
앱-MCT	US-MCT-CHG-001	데이터·통화 충전	NOVA-MCT-PG-002-0	마이	데이터·통화	충전 내역			PG	충전 이력 조회	충전		✅	✅	TW-MY-DTC-MOPC-044-PG-060	TW		
앱-MCT	US-MCT-CHG-001	데이터·통화 충전	NOVA-MCT-PU-001-0	마이	데이터·통화	충전 상세 내역			PU	충전 상세 내역 팝업	충전 내역		✅	✅	TW-MY-DTC-MOPC-044-PU-061	TW		
앱-MCT	US-MCT-CHG-001	데이터·통화 충전	NOVA-MCT-BS-001-0	마이	데이터·통화	충전 데이터 선택			BS	충전 데이터 선택 바텀시트			✅	✅	TW-MY-DTC-MOPC-044-BS-056	TW		
앱-MCT	US-MCT-CHG-001	데이터·통화 충전	NOVA-MCT-BS-002-0	마이	데이터·통화	충전 금액 선택			BS	충전 금액 선택 바텀시트			✅	✅	TW-MY-DTC-MOPC-044-BS-047	TW		
앱-MCT	US-MCT-CHG-001	데이터·통화 충전	NOVA-MCT-BS-003-0	마이	데이터·통화	충전 날짜 선택			BS	자동충전 날짜 선택 바텀시트			✅	✅	TW-MY-DTC-MOPC-044-BS-048	TW		
앱-MCT	US-MCT-CHG-001	데이터·통화 충전	NOVA-MCT-BS-004-0	마이	데이터·통화	필터_충전 데이터 유형 선택			BS	충전 내역 필터 바텀시트			✅	✅	TW-MY-DTC-MOPC-044-BS-063	TW		
앱-MCT	US-MCT-CHG-001	데이터·통화 충전	NOVA-MCT-CP-001-0	마이	데이터·통화	자동충전 해지 Confirm			CP	자동충전 해지 확인 팝업			✅	✅	TW-MY-DTC-MOPC-044-CP-046; TW-MY-DTC-MOPC-044-CP-055	TW	●	
앱-MCT	US-MCT-CHG-001	데이터·통화 충전	NOVA-MCT-CP-002-0	마이	데이터·통화	충전 취소			CP	충전 취소 확인 팝업			✅	✅	TW-MY-DTC-MOPC-044-CP-062	TW		
앱-MCT	US-MCT-CHG-001	데이터·통화 충전	NOVA-MCT-CP-003-0	마이	데이터·통화	알림_팅계열 한도요금 충전 불가			CP	팅 계열 한도요금제 충전 불가 안내		예외 1	✅	✅	TW-MY-DTC-MOPC-044-CP-029	TW		
앱-MCT	US-MCT-CHG-001	데이터·통화 충전	NOVA-MCT-CP-004-0	마이	데이터·통화	데이터 한도 요금제 충전 서비스 이용 불가			CP	데이터 한도요금 충전 불가 안내		예외 2	✅	✅	TW-MY-DTC-MOPC-044-CP-030	TW		
앱-MCT	US-MCT-CHG-001	데이터·통화 충전	NOVA-MCT-PU-002-0	마이	데이터·통화	데이터 한도 요금제 충전_이번 달 충전			PU	데이터 한도요금제 이번달 충전		케이스 1	✅	✅	TW-MY-DTC-MOPC-044-PU-026	TW		
