domain	uc_code	uc_name	page_id	depth1	depth2	depth3	depth4	depth5	dev_type	description	from	flow_type	owner_page	owner_uc	legacy_screen_id	출처서비스	통합여부	비고
앱-MYCPN	US-CPN-CUS-001	고객 통합 자산함 진입 및 보유 자산 확인	NOVA-MYCPN-PG-001-0	마이	쿠폰/이용권함				PG	통합 쿠폰·이용권 자산함 홈. T 멤버십 쿠폰 탭 기본 표시			✅	✅	TM-MY-CPN-MO-08-PG-002; TD-MY-CPN-MOPC-09-PG-036	TD,TM	●	
앱-MYCPN	US-CPN-CUS-002	고객 사용 가능·미수령·예정 자산 구분 확인	NOVA-MYCPN-PU-001-0	마이	쿠폰/이용권함	쿠폰 등록			PU	쿠폰 번호 등록·조회·적용 팝업	쿠폰/이용권함		✅	✅	TD-MY-CPN-MOPC-09-PU-037	TD		
앱-MYCPN	US-CPN-CUS-002	고객 사용 가능·미수령·예정 자산 구분 확인	NOVA-MYCPN-CP-001-0	마이	쿠폰/이용권함	쿠폰 다운로드 안내			CP	쿠폰 다운로드 관련 안내 얼럿	쿠폰/이용권함		✅	✅	TM-MY-CPN-MO-08-CP-216	TM		
앱-MYCPN	US-CPN-CUS-003	고객 쿠폰·이용권 사용 진입 및 제시 수단 확인	NOVA-MYCPN-PG-002-0	마이	쿠폰/이용권함	쿠폰 상세			PG	보유 쿠폰 상세. 쿠폰 복사/바코드/직원확인/비밀번호 등 유형별 케이스 표시	쿠폰/이용권함		✅	✅	TM-MY-CPN-MO-08-PG-006; TM-MY-CPN-MO-08-PG-010; TM-MY-CPN-MO-08-PG-014; TM-MY-CPN-MO-08-PG-039; TM-MY-CPN-MO-08-PG-054; TM-MY-CPN-MO-08-PG-059; TM-MY-CPN-MO-08-PG-071	TM		
앱-MYCPN	US-CPN-CUS-003	고객 쿠폰·이용권 사용 진입 및 제시 수단 확인	NOVA-MYCPN-PG-002-1	마이	쿠폰/이용권함	쿠폰 상세			PG	직원확인 type — 공통 비밀번호	쿠폰/이용권함	케이스 1	✅	✅	TM-MY-CPN-MO-08-PG-019; TM-MY-CPN-MO-08-PG-023	TM		
앱-MYCPN	US-CPN-CUS-003	고객 쿠폰·이용권 사용 진입 및 제시 수단 확인	NOVA-MYCPN-PG-002-2	마이	쿠폰/이용권함	쿠폰 상세			PG	직원확인 type — 개별 비밀번호	쿠폰/이용권함	케이스 2	✅	✅	TM-MY-CPN-MO-08-PG-028; TM-MY-CPN-MO-08-PG-032	TM		
앱-MYCPN	US-CPN-CUS-003	고객 쿠폰·이용권 사용 진입 및 제시 수단 확인	NOVA-MYCPN-PG-003-0	마이	쿠폰/이용권함	쿠폰 상세 - 바우처			PG	바우처 확인 쿠폰 상세	쿠폰/이용권함	케이스 3	✅	✅	TM-MY-CPN-MO-08-PG-044	TM		
앱-MYCPN	US-CPN-CUS-003	고객 쿠폰·이용권 사용 진입 및 제시 수단 확인	NOVA-MYCPN-PG-004-0	마이	쿠폰/이용권함	쿠폰 상세 - 즐거운 연동			PG	즐거운 연동 쿠폰 상세 (정상/카드정지 케이스)	쿠폰/이용권함	케이스 4	✅	✅	TM-MY-CPN-MO-08-PG-047; TM-MY-CPN-MO-08-PG-049	TM		
앱-MYCPN	US-CPN-CUS-003	고객 쿠폰·이용권 사용 진입 및 제시 수단 확인	NOVA-MYCPN-PG-005-0	마이	쿠폰/이용권함	쿠폰 상세 - 경품확인용			PG	경품확인용 쿠폰 상세	쿠폰/이용권함	케이스 5	✅	✅	TM-MY-CPN-MO-08-PG-050	TM		
앱-MYCPN	US-CPN-CUS-003	고객 쿠폰·이용권 사용 진입 및 제시 수단 확인	NOVA-MYCPN-PG-006-0	마이	쿠폰/이용권함	쿠폰 상세 - 우주패스			PG	우주패스 상품용 쿠폰 상세(쿠폰 복사 type)	쿠폰/이용권함	케이스 6	✅	✅	TM-MY-CPN-MO-08-PG-051	TM		
