domain	uc_code	uc_name	page_id	depth1	depth2	depth3	depth4	depth5	dev_type	description	from	flow_type	owner_page	owner_uc	legacy_screen_id	출처서비스	통합여부	비고
앱-MYPNT	US-MYPNT-PNT-001	T 플러스포인트 조회	NOVA-MYPNT-PG-001-0	마이	T 플러스포인트				PG	T 플러스포인트 홈. 잔액·소멸 예정·누적 적립 요약 표시			✅	✅	TM-MY-CPN-MO-07-PG-004; TM-MY-CPN-MO-17-PG-023	TM		
앱-MYPNT	US-MYPNT-PNT-001	T 플러스포인트 조회	NOVA-MYPNT-PU-001-0	마이	T 플러스포인트	이용 내역			PU	포인트 적립·사용 이력 목록(풀업)	T 플러스포인트		✅	✅	TM-MY-CPN-MO-17-PU-005	TM		
앱-MYPNT	US-MYPNT-PNT-001	T 플러스포인트 조회	NOVA-MYPNT-PG-002-0	마이	T 플러스포인트	레인보우포인트			PG	레인보우포인트 잔액·이력 상세			✅	✅	TW-MY-CPN-MOPC-038-PG-002	TW		
앱-MYPNT	US-MYPNT-PNT-001	T 플러스포인트 조회	NOVA-MYPNT-PG-003-0	마이	T 플러스포인트	무약정플랜 포인트			PG	무약정플랜 포인트 잔액·이력 상세			✅	✅	TW-MY-CPN-MOPC-038-PG-010	TW		
앱-MYPNT	US-MYPNT-PNT-001	T 플러스포인트 조회	NOVA-MYPNT-PG-004-0	마이	T 플러스포인트	현역플랜 포인트			PG	지켜줘서고마워 현역플랜 포인트 잔액·이력 상세			✅	✅	TW-MY-CPN-MOPC-038-PG-011	TW		
앱-MYPNT	US-MYPNT-PNT-002	T 플러스포인트 사용	NOVA-MYPNT-PG-005-0	마이	T 플러스포인트	포인트 비밀번호 입력			PG	포인트 사용 전 비밀번호 인증 화면	T 플러스포인트		✅	✅	TM-MY-CPN-MO-16-PG-047; TM-MY-CPN-MO-17-PG-013; TM-MY-CPN-MO-17-PG-014	TM		fadeout 검토대상
앱-MYPNT	US-MYPNT-PNT-002	T 플러스포인트 사용	NOVA-MYPNT-PU-002-0	마이	T 플러스포인트	비밀번호 키패드			PU	포인트 비밀번호 랜덤 키패드 입력창	포인트 비밀번호 입력		✅	✅	TM-MY-CPN-MO-16-PU-048; TM-MY-CPN-MO-17-PG-018	TM		fadeout 검토대상
앱-MYPNT	US-MYPNT-PNT-002	T 플러스포인트 사용	NOVA-MYPNT-CP-001-0	마이	T 플러스포인트	비밀번호 미입력 안내			CP	비밀번호 미입력 시 얼럿	포인트 비밀번호 입력		✅	✅	TM-MY-CPN-MO-16-CP-049; TM-MY-CPN-MO-17-CP-015	TM		fadeout 검토대상
앱-MYPNT	US-MYPNT-PNT-002	T 플러스포인트 사용	NOVA-MYPNT-CP-002-0	마이	T 플러스포인트	비밀번호 불일치 안내			CP	비밀번호 틀렸을 경우 얼럿 (5회/10회 누적 포함)	T 플러스포인트	예외 1	✅	✅	TM-MY-CPN-MO-16-CP-050; TM-MY-CPN-MO-16-CP-051; TM-MY-CPN-MO-17-CP-016	TM		fadeout 검토대상
앱-MYPNT	US-MYPNT-PNT-002	T 플러스포인트 사용	NOVA-MYPNT-CP-003-0	마이	T 플러스포인트	비밀번호 분실 안내			CP	포인트 비밀번호 분실 시 안내 얼럿		예외 2	✅	✅	TM-MY-CPN-MO-16-CP-052; TM-MY-CPN-MO-17-CP-017	TM		fadeout 검토대상
