domain	uc_code	uc_name	page_id	depth1	depth2	depth3	depth4	depth5	dev_type	description	from	flow_type	owner_page	owner_uc	legacy_screen_id	출처서비스	통합여부	비고
앱-INFO	US-MYI-CUS-001	가입정보 통합 홈에서 보유 서비스 상태 확인	NOVA-INFO-PG-001-0	마이	나의 가입 정보	이동전화			PG	나의 가입 정보 메인 - 이동전화 회선	마이		✅	✅	TW-MY-INFO-MOPC-043-PG-001; TM-MY-INFO-MO-10-PG-001	TW, TM	●	
앱-INFO	US-MYI-CUS-001	가입정보 통합 홈에서 보유 서비스 상태 확인	NOVA-INFO-PG-002-0	마이	나의 가입 정보	인터넷/전화/B tv			PG	나의 가입 정보 메인 - 인터넷/전화/B tv	나의 가입 정보_이동전화		✅	✅	TW-MY-INFO-MOPC-043-PG-050	TW		
앱-INFO	US-MYI-CUS-001	가입정보 통합 홈에서 보유 서비스 상태 확인	NOVA-INFO-PG-003-0	마이	나의 가입 정보	MY CS Layer			PG	MY 서비스 서브메인 레이어	나의 가입 정보_이동전화		✅	✅	TW-MY-INFO-MOPC-046-PG-001	TW		fadeout 검토대상 (P8)
앱-INFO	US-MYI-CUS-001	가입정보 통합 홈에서 보유 서비스 상태 확인	NOVA-INFO-BS-001-0	마이	나의 가입 정보	MY CS Layer	데이터 충전하기		BS	데이터 충전하기 바텀시트			✅	✅	TW-MY-INFO-MOPC-046-BS-002	TW		
앱-INFO	US-MYI-CUS-001	가입정보 통합 홈에서 보유 서비스 상태 확인	NOVA-INFO-BS-002-0	마이	나의 가입 정보	MY CS Layer	데이터 선물하기		BS	데이터 선물하기 바텀시트			✅	✅	TW-MY-INFO-MOPC-046-BS-003	TW		
앱-INFO	US-MYI-CUS-001	가입정보 통합 홈에서 보유 서비스 상태 확인	NOVA-INFO-PG-004-0	마이	나의 가입 정보	이동전화	회원정보 (조회 불가)		PG	회원정보 조회 불가 상태 (T멤버십)		예외 1	✅	✅	TM-MY-INFO-MO-10-PG-004	TM		
앱-INFO	US-MYI-CUS-001	가입정보 통합 홈에서 보유 서비스 상태 확인	NOVA-INFO-PG-005-0	마이	나의 가입 정보	이동전화	회원정보 (회선명의자와 실사용자 다름)		PG	회선명의자와 실사용자가 다른 케이스 (T멤버십)		예외 2	✅	✅	TM-MY-INFO-MO-10-PG-005	TM		
앱-INFO	US-MYI-CUS-001	가입정보 통합 홈에서 보유 서비스 상태 확인	NOVA-INFO-PG-006-0	마이	나의 가입 정보	이동전화	회원정보 (자사 LITE)		PG	자사 LITE 회원 정보 (T멤버십)		케이스 1	✅	✅	TM-MY-INFO-MO-10-PG-013	TM		
앱-INFO	US-MYI-CUS-001	가입정보 통합 홈에서 보유 서비스 상태 확인	NOVA-INFO-PG-007-0	마이	나의 가입 정보	이동전화	회원정보 (타사 LITE)		PG	타사 LITE 회원 정보 (T멤버십)		케이스 2	✅	✅	TM-MY-INFO-MO-10-PG-014	TM		
앱-INFO	US-MYI-CUS-001	가입정보 통합 홈에서 보유 서비스 상태 확인	NOVA-INFO-PG-008-0	마이	나의 가입 정보	이동전화	T 멤버십 예상 등급 안내		PG	VIP 예상 등급 안내 (T멤버십)		케이스 3	✅	✅	TM-MY-INFO-MO-10-PG-006	TM		
